"id","uid","action_name","class_name","language","sequence","text","message_type","is_active","created_at","updated_at"
1,"eaa6cea9-1736-457e-9f65-3a5c9fca89bd","action_register_consumer_options_english","New/Registered (both)","en",1,"Language has been changed successfully","intro",True,"2025-10-17 18:34:40.098791+05:30","2025-11-13 20:34:18.419481+05:30"
2,"6146e6ca-38e3-4361-a613-fc9d00139c54","action_register_consumer_options_english","New/Registered (both)","en",2,"Hi! I'm e-MITRA, your BSES Rajdhani assistant.","intro",True,"2025-10-17 18:43:33.394041+05:30","2025-11-13 20:35:06.958894+05:30"
3,"847e3367-06b3-477c-af6b-7756a440d35f","action_register_consumer_options_english","New/Registered (both)","en",3,"Please select an option to continue. (You can click the Home icon or type 'Menu' or 'Hi' anytime to return to the main menu","intro",True,"2025-10-17 18:43:43.88499+05:30","2025-10-24 14:20:29.578153+05:30"
7,"0e50a2bd-ba5c-400f-ae1e-a56a75e906d9","action_register_consumer_options_hindi","New/Registered (both)","hi",1,"भाषा सफलतापूर्वक बदल दी गई है","intro",True,"2025-10-17 19:41:15.668549+05:30",NULL
8,"44426c7c-e3e5-4180-9077-9b512e608c84","action_register_consumer_options_hindi","New/Registered (both)","hi",2,"नमस्ते! मैं आपका बीएसईएस राजधानी सहायक ई-मित्र हूं।","intro",True,"2025-10-17 19:41:32.202767+05:30",NULL
9,"dc0ef69e-10d5-4c25-a13b-7ab9b7290782","action_register_consumer_options_hindi","New/Registered (both)","hi",3,"कृपया जारी रखने के लिए एक विकल्प चुनें। (मुख्य मेनू पर लौटने के लिए आप किसी भी समय होम आइकन पर क्लिक कर सकते हैं या 'मेनू' या 'हाय' टाइप कर सकते हैं)","intro",True,"2025-10-17 19:42:01.08562+05:30",NULL
10,"2d28d44d-2be4-4cf1-a5d2-49c504521703","general_thankyou","New/Registered (both)","en",1,"Thank you! Would you like to go back to main menu. (You can type 'menu' or 'hi' to come back to main options)","general_thankyou",True,"2025-10-17 19:47:10.161471+05:30",NULL
11,"e938702b-05ef-42f3-a5e8-966ab5866797","general_thankyou","New/Registered (both)","hi",1,"धन्यवाद! क्या आप मुख्य मेनू पर वापस जाना चाहेंगे? (आप 'menu' या 'hi' लिखकर मुख्य विकल्पों पर वापस आ सकते हैं)","general_thankyou",True,"2025-10-17 19:47:59.813722+05:30",NULL
12,"cb5f8d45-2967-4a34-b3d4-53d3ff49e194","action_new_connection_application_brpl_english","New/Registered (both)","en",1,"Please click below to apply online or request for an appointment: https://ncbrpl.bsesdelhi.com/BRPL/Login","new_connection_application",True,"2025-10-21 13:01:47.769425+05:30",NULL
14,"70273d50-2a13-417e-abc2-e2e72f20cbd3","action_new_connection_application_brpl_hindi","New/Registered (both)","hi",1,"नए कनेक्शन के ऑनलाइन आवेदन या अपॉइंटमेंट करने के लिए कृपया नीचे क्लिक करें: https://ncbrpl.bsesdelhi.com/BRPL/Login","new_connection_application",True,"2025-10-21 13:06:03.925416+05:30",NULL
15,"03826fdf-5755-4bf9-a495-26d8d452feee","action_prepaid_meter_recharge_english","Registered","en",1,"Please click the link below check the balance or to recharge  your prepaid meter: https://www.bsesdelhi.com/web/brpl/prepaid-meter-recharge","prepaid_meter_recharge",True,"2025-10-21 13:13:25.104428+05:30",NULL
16,"e6f0bc9e-2472-4921-83ed-c5b92656921d","action_prepaid_meter_recharge_hindi","Registered","hi",1,"कृपया शेष राशि देखने या अपने प्रीपेड मीटर को रिचार्ज करने के लिए नीचे दिए गए लिंक पर क्लिक करें: https://www.bsesdelhi.com/web/brpl/prepaid-meter-recharge","prepaid_meter_recharge",True,"2025-10-21 13:16:11.531525+05:30",NULL
17,"5bb10689-60ac-4cc0-936b-a8f472a06efb","action_streetlight_complaint_english","New/Registered (both)","en",1,"Register your complain here: https://www.bsesdelhi.com/web/brpl/street-light-complaint","streetlight_complaint",True,"2025-10-21 13:25:15.730936+05:30",NULL
18,"2300574c-b4d3-4d65-8b39-b87394e12295","action_streetlight_complaint_hindi","New/Registered (both)","hi",1,"अपनी स्ट्रीट लाइट की शिकायत यहां दर्ज करें: https://www.bsesdelhi.com/web/brpl/street-light-complaint","streetlight_complaint",True,"2025-10-21 13:26:16.853291+05:30",NULL
19,"de15251a-e244-41eb-9033-fb6ea7dd84f1","action_virtual_customer_care_brpl_hindi","New/Registered (both)","hi",1,"कृपया हमारे ग्राहक सेवा प्रतिनिधि से वर्चुअली जुड़ने के लिए नीचे दिए गए लिंक पर क्लिक करें: https://bsesbrpl.co.in:7874/zoom/","virtually_connect",True,"2025-10-21 13:32:57.216841+05:30",NULL
20,"5748ab25-43bd-4f40-82e4-ca85ab306e92","action_virtual_customer_care_brpl_english","New/Registered (both)","en",1,"Please click the link below to connect virtually with our customer care representative: https://bsesbrpl.co.in:7874/zoom/","virtually_connect",True,"2025-10-21 13:35:04.831107+05:30",NULL
21,"7959ddd2-18da-4edd-9d47-93742b93861d","action_new_consumer_faqs_brpl_english","New","en",1,"1. Mobile App (Android & iOS) b","faqs_new",True,"2025-10-21 13:42:13.214611+05:30",NULL
22,"6d67bd37-0d29-43c9-bae8-14c9368d5d3e","action_new_consumer_faqs_brpl_english","New","en",2,"1. BSES Rajdhani Power Limited brings essential services to your fingertips through its official app — BRPL Power App. From bill payments and consumption tracking to complaint registration and account management, access everything in one place. Available on both Google Play and Apple App Store.
Click to download:
Google Play Store: https://rml.fm/BSESRP/vokflp
Apple App Store: https://rml.fm/BSESRP/NEkflp","faqs_new",True,"2025-10-21 13:44:32.209305+05:30",NULL
23,"759d4fb5-ba5f-4d9a-bce9-d451c6bd829d","action_new_consumer_faqs_brpl_english","New","en",3,"2. Quick Pay b","faqs_new",True,"2025-10-21 13:44:52.66895+05:30",NULL
24,"c684cafa-3b28-42f7-a20b-9df127eeb50e","action_new_consumer_faqs_brpl_english","New","en",4,"2. Use Quick Pay to conveniently pay your electricity bill - no login required. Select from multiple secure payment methods such as Net Banking, Debit/Credit Cards, or UPI for a smooth and hassle-free transaction.
Click here to pay: https://www.bsesdelhi.com/web/brpl/quick-pay","faqs_new",True,"2025-10-21 13:46:19.056176+05:30",NULL
25,"d84199ef-48ea-456a-8692-8e3f0cf25e92","action_new_consumer_faqs_brpl_english","New","en",5,"3. New Connection b","faqs_new",True,"2025-10-21 13:46:46.989829+05:30",NULL
26,"dd446cd3-29e8-493a-8b7c-4b25d631523a","action_new_consumer_faqs_brpl_english","New","en",6,"3. To apply online for a new connection, request an appointment, or view checklist of required documents, please click given below link: https://ncbrpl.bsesdelhi.com/BRPL/Login","faqs_new",True,"2025-10-21 13:47:19.254638+05:30",NULL
27,"2afde913-013f-4f6f-b3c1-0eb3279b088c","action_new_consumer_faqs_brpl_english","New","en",7,"4. Change Request b","faqs_new",True,"2025-10-21 13:47:36.541284+05:30",NULL
28,"92a2d456-c043-4e18-9e7d-3214915ef90f","action_new_consumer_faqs_brpl_english","New","en",8,"4. To submit a request for changes to your existing connection—such as name change, load change, or category change—please click the link provided below: https://ncbrpl.bsesdelhi.com/BRPL/ChangeRequestLogin","faqs_new",True,"2025-10-21 13:47:58.019295+05:30",NULL
29,"2718dd4a-56e5-478a-93a3-2c84dac5f77e","action_new_consumer_faqs_brpl_hindi","New","hi",1,"1. मोबाइल ऐप (Android और iOS) b","faqs_new",True,"2025-10-21 13:53:19.433344+05:30",NULL
30,"9f0f9ca5-9772-499b-8e62-948321facad9","action_new_consumer_faqs_brpl_hindi","New","hi",2,"1. बीएसईएस राजधानी पावर लिमिटेड अपने आधिकारिक ऐप - बीआरपीएल पावर ऐप के माध्यम से कई सेवाएं प्रदान करता है। बिल भुगतान और बिजली खपत ट्रैकिंग से लेकर शिकायत पंजीकरण और अपना खाता प्रबंधित करने तक, सब कुछ एक ही स्थान पर एक्सेस करें। हमारी ऐप Google Play और Apple App Store दोनों पर उपलब्ध है।
डाउनलोड करने के लिए क्लिक करें:
गूगल प्ले स्टोर: https://rml.fm/BSESRP/vokflp
ऐप्पल ऐप स्टोर: https://rml.fm/BSESRP/NEkflp","faqs_new",True,"2025-10-21 13:54:27.498909+05:30",NULL
31,"cd454236-1b84-4e90-acbd-0b6ee88f10d6","action_new_consumer_faqs_brpl_hindi","New","hi",3,"2. क्विक पे b","faqs_new",True,"2025-10-21 13:54:48.087142+05:30",NULL
32,"03c684ab-daf5-4263-a67b-18c0bc4aabcc","action_new_consumer_faqs_brpl_hindi","New","hi",4,"2. अपने बिजली बिल का आसानी से भुगतान करने के लिए क्विक पे करें - किसी लॉगिन की आवश्यकता नहीं है। नेट बैंकिंग, डेबिट/क्रेडिट कार्ड या यूपीआई जैसे कई सुरक्षित भुगतानों में से चुनें।
भुगतान करने के लिए यहां क्लिक करें: https://www.bsesdelhi.com/web/brpl/quick-pay","faqs_new",True,"2025-10-21 13:55:29.870286+05:30",NULL
33,"51fc450f-b4b2-4b98-a8d0-8f8543de7d0e","action_new_consumer_faqs_brpl_hindi","New","hi",5,"3. नया कनेक्शन b","faqs_new",True,"2025-10-21 13:55:45.232304+05:30",NULL
34,"a1418dd1-1683-454d-b490-2639154ea5d0","action_new_consumer_faqs_brpl_hindi","New","hi",6,"3. नए कनेक्शन के लिए ऑनलाइन आवेदन करने, अपॉइंटमेंट का अनुरोध करने या आवश्यक दस्तावेजों की चेकलिस्ट देखने के लिए कृपया नीचे दिए गए लिंक पर क्लिक करें: https://ncbrpl.bsesdelhi.com/BRPL/Login","faqs_new",True,"2025-10-21 13:56:02.282318+05:30",NULL
35,"e085fe07-d5c8-466e-98b3-1e3c0f203495","action_new_consumer_faqs_brpl_hindi","New","hi",7,"4. कनेक्शन परिवर्तन अनुरोध b","faqs_new",True,"2025-10-21 13:56:13.903598+05:30",NULL
36,"f129b617-cd2f-4a11-8459-5633b4d03158","action_new_consumer_faqs_brpl_hindi","New","hi",8,"4. अपने मौजूदा कनेक्शन में परिवर्तन के लिए अनुरोध सबमिट करने के लिए - जैसे नाम परिवर्तन, लोड परिवर्तन, या श्रेणी परिवर्तन - कृपया नीचे दिए गए लिंक पर क्लिक करें: https://ncbrpl.bsesdelhi.com/BRPL/ChangeRequestLogin","faqs_new",True,"2025-10-21 13:56:31.902641+05:30",NULL
37,"ce2b3811-6103-4dc9-bc55-76ba26f3640a","action_consumption_history_english","Registered","en",1,"Here is the link of your consumption history:","consumption_history",True,"2025-10-21 14:09:15.007347+05:30",NULL
38,"303133d9-2851-4ca2-a81f-d1770196a8e8","action_consumption_history_hindi","Registered","hi",1,"यह रहा आपके उपभोग इतिहास का लिंक:","consumption_history",True,"2025-10-21 14:17:41.155626+05:30",NULL
39,"d386e7e1-6cf3-41ef-8a05-8a4db027866e","action_duplicate_bill_hindi","Registered","hi",1,"यह रहा आपके डुप्लीकेट बिल का लिंक:","duplicate_bill",True,"2025-10-21 14:46:24.660875+05:30",NULL
40,"27c6e4f0-e51d-4456-a6d1-dac3634d82a0","action_duplicate_bill_english","Registered","en",1,"Here is the link of your duplicate bill:","duplicate_bill",True,"2025-10-21 16:09:20.197632+05:30",NULL
41,"821d2980-a141-45c3-b9a6-9c477299d5a5","action_check_for_payment_status_hindi","Registered","hi",1,"अपनी भुगतान स्थिति यहां देखें:
","payment_status",True,"2025-10-21 16:13:03.285831+05:30","2025-10-21 23:05:14.147252+05:30"
42,"22ee0f29-f2ce-4e6e-b9e8-56378efbb9e9","action_check_for_payment_status_english","Registered","en",1,"Check you payment status here:","payment_status",True,"2025-10-21 16:15:26.871297+05:30",NULL
43,"2aa1cc96-5fa0-4e32-bd42-160a46d4692d","action_complaint_status_hindi","Registered","hi",1,"आपकी शिकायत का विवरण यहां दिया गया है:","complaint_status",True,"2025-10-21 16:18:20.608264+05:30",NULL
44,"79b659e6-5552-432c-b7d4-2032feaf79bc","action_complaint_status_english","Registered","en",1,"Here are your complaint details:","complaint_status",True,"2025-10-21 16:20:36.491228+05:30",NULL
45,"0948bcd7-707a-460e-b86e-3772a7eb4e0e","action_visually_impaired_hindi","New/Registered (both)","hi",1,"कॉलबैक प्राप्त करने और आगे की सहायता के लिए कृपया अपना वैध 10 अंकों वाला मोबाइल नंबर दर्ज करें।","visually_impaired_step_1",False,"2025-10-21 16:33:37.110181+05:30",NULL
46,"72b0db6e-140c-43ed-a267-7efd5e540648","action_validate_mobile_number_hindi","New/Registered (both)","hi",1,"आपके द्वारा दर्ज किए गए मोबाइल नंबर पर एक ओटीपी भेजा गया है।","visually_impaired_step_2",False,"2025-10-21 16:36:37.49061+05:30",NULL
47,"9c2ab745-3402-4702-be1b-ba8830e49d10","action_visually_impaired_english","New/Registered (both)","en",1,"Please enter your 10-digit valid mobile number to receive a call back for further assistance.","visually_impaired_step_1",False,"2025-10-21 17:31:52.176564+05:30",NULL
48,"85810372-ccca-489b-a142-e36fa50633f0","action_validate_mobile_number_english","New/Registered (both)","en",1,"A 6-digit One-Time Password (OTP) has been sent to the provided mobile number.","visually_impaired_step_2",False,"2025-10-21 17:33:20.276031+05:30",NULL
49,"dcacb852-e1fc-4841-a38d-075cd3857649","action_visually_impaired_final_english","New/Registered (both)","en",1,"Your request number has been successfully registered. Our helpdesk team will contact you shortly.","visually_impaired_step_3",True,"2025-10-21 17:34:33.078187+05:30",NULL
50,"27c6c692-0268-4b18-92d1-7c4a465ffa5c","action_new_connection_status_english","New/Registered (both)","en",1,"Please enter your Order ID. The Order ID starts with ‘008’, ‘AN’, or ‘ON’","new_connection_status_step_1",False,"2025-10-21 17:36:45.951311+05:30",NULL
51,"3eebc516-af16-400d-adde-525cc7e33f9c","action_get_connection_status","New/Registered (both)","en",1,"New connection request on hold due to deficiency","new_connection_status_step_2",True,"2025-10-21 17:37:50.823759+05:30","2025-10-27 14:12:31.854562+05:30"
52,"06f5ef17-2c95-421d-9c81-d4b69fc32b78","action_new_connection_status_hindi","New/Registered (both)","hi",1,"कृपया अपना ऑर्डर आईडी दर्ज करें। आपका ऑर्डर आईडी '008', 'AN' या 'ON' से शुरू होता है।","new_connection_status_step_1",False,"2025-10-21 17:42:01.095302+05:30",NULL
53,"067a3dbb-afba-4cb3-834f-d590e6cac570","action_get_connection_status_hindi","New/Registered (both)","hi",1,"कमी के कारण नया कनेक्शन अनुरोध रोक दिया गया है।","new_connection_status_step_2",True,"2025-10-21 17:42:53.213891+05:30","2025-10-27 14:12:15.377977+05:30"
54,"ce2ae980-0f6e-4311-b484-63e229652365","action_change_language","New/Registered (both)","hi",1,"कृपया अपनी पसंदीदा भाषा चुनें","change_language_hi",True,"2025-10-21 17:47:20.413922+05:30",NULL
55,"c29b6742-3a4a-44c9-b700-c4bec936688c","action_change_language","New/Registered (both)","en",1,"Please select your preferred language","change_language_en",True,"2025-10-21 17:47:54.760184+05:30",NULL
56,"8ec8376a-1710-4bbb-ab1d-735c661148cc","action_branches_nearby_english","New/Registered (both)","en",1,"What centres would you like me to locate?","branch_nearby_step_1",True,"2025-10-21 17:49:52.832262+05:30",NULL
57,"20307878-a282-4cb1-8e52-a673720b7561","action_branches_payment_centres_english","New/Registered (both)","en",1,"Share your live location or type your address manually","branch_nearby_step_2",True,"2025-10-21 17:51:08.969275+05:30",NULL
58,"febc0d48-d3c1-4ac4-94b7-681fd9333b07","action_branches_nearby_hindi","New/Registered (both)","hi",1,"आप किस प्रकार के केंद्र का पता लगाना चाहेंगे?","branch_nearby_step_1",True,"2025-10-21 17:52:35.348645+05:30",NULL
59,"a91680a0-d6f8-4f23-9db6-c3f8ce4103f9","action_branches_payment_centres_hindi","New/Registered (both)","hi",1,"अपना लाइव लोकेशन साझा करें या अपना पता मैन्युअली टाइप करें","branch_nearby_step_2",True,"2025-10-21 17:53:41.753164+05:30",NULL
60,"eccce6b9-48a5-4745-a604-cc7968c4aede","action_check_for_ca_number_english","New/Registered (both)","en",1,"Please enter new CA number","select_another_ca_step_1",True,"2025-10-21 17:59:24.378264+05:30",NULL
61,"0f9c7e37-0123-4f9e-bc28-834d8c7393df","action_validate_ca_number_otp","New/Registered (both)","en",1,"OTP validated for new CA number successfully","select_another_ca_step_2",True,"2025-10-21 18:00:49.513993+05:30",NULL
62,"bd21cac6-a67e-4cb5-b0e7-d7175b99474a","action_check_for_ca_number_hindi","New/Registered (both)","hi",1,"कृपया नया CA नंबर दर्ज करें।","select_another_ca_step_1",True,"2025-10-21 18:02:21.910293+05:30",NULL
63,"900f5a6d-6ca5-4012-baa4-6377546184a6","action_validate_ca_number_otp_hindi","New/Registered (both)","hi",1,"नए सीए नंबर के लिए ओटीपी सफलतापूर्वक सत्यापित किया गया।","select_another_ca_step_2",True,"2025-10-21 18:03:13.572898+05:30",NULL
